No.,No. 2,Vendor Asset No.,Description,Virtual Asset,Status Code,Condition Code,Active,Critical,Category Code,Type,Manufacturer Code,Model Number,Serial Number,Parent No.,Parent Description,Person/Group Responsible,Notes,Favorite,Open Form Exists,Risk Assessment No.,Max Handout Time (days),In Use,Handed To,Asset Location Code,Asset Location Name,Asset Responsibility Center,Asset Location Address,Asset Location County,Asset Location Country/Region Code,Disable Location Inheritance,Certification Authority,Static Coordinates,Latitude,Longitude,Level,On Transfer Order,In Transit,Installation Date,Lifetime (Years),Expected End Of Life Date,Warranty No.,Warranty Expiration Date,Expiry Notification Date,Warranty Counter Category,Warranty Counter Limit,Warranty Counter Notification Threshold,Number Of Warranties,During Replacement,Replacement Work Order No.,Replacement Asset No.,Connected to Type,Connected to No.,Gen. Bus. Posting Group,Expected Maintenance Strategy,Estimated Cost (h),Ownership Code,Acquisition Date,Acquisition Cost,Current Value,Replacement Cost,Insurance Policy
3110-DC-26,,,Crusher Discharge Dust Collector,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FD-04,,,ROM Bin Static Grizzly,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FD-10,,,Vibrating Grizzly Feeder,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FN-24,,,Crusher Discharge Dust Collector Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FN-36,,,Crusher Pressurization Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FN-38,,,Crusher Exhaust Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-FN-40,,,Crusher Ventilation Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-HO-02,,,10t Crushing Area O/H Crane,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-HT-32,,,Jaw Crusher Oil Heater,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-HT-42,,,Crusher Unit Heater,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-MG-19,,,Tramp Steel Magnet,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-MS-28,,,Oversize Stockpile,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-PP-34,,,Jaw Crusher Oil Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-PV-30,,,Crusher Dust Collector Air Receiver,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-VR-54,,,Crusher Discharge Dust Collector Rotary Airlock,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3200,,,Coarse Ore Stockpile & Reclaim - (Cost Centre 201),True,OPERATING,,True,False,MECHANICAL,Asset,,,,,,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210,,,Coarse Ore Storage and Reclaim Conveyor,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3200,Coarse Ore Stockpile & Reclaim - (Cost Centre 201),,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-BN-52,,,Tramp Steel Magnet Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-04,,,Reclaim Feed Chute No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-08,,,Reclaim Apron Feeder Discharge Chute No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-10,,,Reclaim Feed Chute No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-14,,,Reclaim Apron Feeder Discharge Chute No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-46,,,Apron Feeder Dribble Chute No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-48,,,Apron Feeder Dribble Chute No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CH-51,,,Conveyor Head Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CV-26,,,SAG Mill Feed Conveyor,False,WO READY,WO READY,True,True,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-CV-54,,,Sag Mill Conveyor Skirtboard,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-DC-22,,,SAG Mill Conveyor Dust Collector,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-DC-32,,,SAG Mill Conveyor Dust Hood No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-DC-34,,,SAG Mill Conveyor Dust Hood No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3210-EF-38,,,Reclaim Tunnel Exhaust Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3210,Coarse Ore Storage and Reclaim Conveyor,,,False,False,,0,False,,COARSE ORE STOCKPILE,Coarse Ore Stockpile & Reclaim,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
