No.,No. 2,Vendor Asset No.,Description,Virtual Asset,Status Code,Condition Code,Active,Critical,Category Code,Type,Manufacturer Code,Model Number,Serial Number,Parent No.,Parent Description,Person/Group Responsible,Notes,Favorite,Open Form Exists,Risk Assessment No.,Max Handout Time (days),In Use,Handed To,Asset Location Code,Asset Location Name,Asset Responsibility Center,Asset Location Address,Asset Location County,Asset Location Country/Region Code,Disable Location Inheritance,Certification Authority,Static Coordinates,Latitude,Longitude,Level,On Transfer Order,In Transit,Installation Date,Lifetime (Years),Expected End Of Life Date,Warranty No.,Warranty Expiration Date,Expiry Notification Date,Warranty Counter Category,Warranty Counter Limit,Warranty Counter Notification Threshold,Number Of Warranties,During Replacement,Replacement Work Order No.,Replacement Asset No.,Connected to Type,Connected to No.,Gen. Bus. Posting Group,Expected Maintenance Strategy,Estimated Cost (h),Ownership Code,Acquisition Date,Acquisition Cost,Current Value,Replacement Cost,Insurance Policy
3630-PP-18,,,Carbon Sizing Screen Feed Pump,False,OPERATING,BLACK TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-PP-27,,,Regenerated Carbon Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-PP-28,,,Carbon Fines Area Sump Pump,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SG-44,,,Kiln No. 1 Slide Gate,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SG-46,,,Kiln No. 2 Slide Gate,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SR-02,,,Kiln Dewatering Screen,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SR-22,,,Carbon Sizing Screen,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SR-36,,,Pipescreen No. 1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-SR-42,,,Pipescreen No. 2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-TK-16,,,Quench Tank No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-TK-17,,,Quench Tank No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-TK-26,,,Carbon Storage Tank,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-VT-56,,,Kiln No. 1 Burner Valvetrain,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3630-VT-58,,,Kiln No. 2 Burner Valvetrain,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3630,Carbon Regeneration,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640,,,Electrowinning,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3600,Gold Recovery & Carbon Regeneration - (Cost Centre 205),,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-BX-09,,,Electrowinning Cell Feed Box,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-14,,,Elution Electrowinning Cell Fume Hood No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-20,,,Elution Electrowinning Cell Fume Hood No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-26,,,Elution Electrowinning Cell Fume Hood No.3,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-38,,,Gravity Electrowinning Cell Fume Hood No.4,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-74,,,Electrowinning Exhaust Stack,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-DC-75,,,Electrowinning Exhaust Ducting,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-EF-42,,,Common Electrowinning Exhaust Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-EG-10,,,Elution Electrowinning Cell No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-EG-16,,,Elution Electrowinning Cell No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-EG-22,,,Elution Electrowinning Cell No.3,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-EG-34,,,Gravity Electrowinning Cell No.4,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-HO-64,,,2t Electrowinning Cell O/H Hoist,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-PP-28,,,Barren Area Sump Pump,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-PP-32,,,Gravity Electrowinning Cell Feed Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-PP-54,,,Gravity Barren Solution Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-PP-60,,,Strip Barren Solution Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-RC-12,,,Elution Electrowinning Cell Rectifier No.1,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-RC-18,,,Elution Electrowinning Cell Rectifier No.2,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-RC-24,,,Elution Electrowinning Cell Rectifier No.3,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-RC-36,,,Gravity Electrowinning Cell Rectifier No.4,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-SF-68,,,Electrowinning Safety Shower and Eyewash Station,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-SF-70,,,Barren Solution Safety Shower and Eyewash Station,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-TK-02,,,Strip Barren Solution Tank,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-TK-30,,,Gravity Pregnant Solution Tank,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3640-TK-52,,,Gravity Barren Solution Tank,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3640,Electrowinning,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650,,,Refinery and Gold Room,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3600,Gold Recovery & Carbon Regeneration - (Cost Centre 205),,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-16,,,Induction Furnace Hood,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-18,,,Oven and Furnace Extraction Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-20,,,Oven and Furnace Dust Collector,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-22,,,Dust Collector Waste Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-52,,,Furnace Stack,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-53,,,Gold Room Exhaust Ducting,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DC-62,,,Hood,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-DR-04,,,Drying Oven,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-FL-50,,,Sludge Filter,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-FN-340,,,Furnace Cooler Room Cooling (Exhaust) Air Fan,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-FU-14,,,Induction Furnace,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-HP-36,,,Induction Furnace - Hydraulic Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-HT-342,,,Furnace Cooler Room Unit Heater,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-HT-343,,,Furnace Cooler Room Unit Heater,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-HX-38,,,Cooler System,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-LV-344,,,Furnace Cooler Room Louvre,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-LV-345,,,Furnace Cooler Room Louvre,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-08,,,Oven Tray Lifting Trolley,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-09,,,Flux Mixer,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-10,,,Flux Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-26,,,Bullion Table,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-27,,,Moulds and Mould Trays,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-30,,,Gold Room Safe,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-47,,,High Pressure Wash,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-54,,,Precipitate Pans,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-56,,,Dore Molds,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-58,,,Slag Pots,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-MS-60,,,Slag Pot Cart,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-PP-32,,,Gold Room Sump Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,V Belt 3VX 475 X2,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-PP-48,,,Sludge Filter Feed Pump,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-PU-34,,,Induction Furnace - Power Unit,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-SC-12,,,Flux Scale,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-SC-24,,,Bullion Scale,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-SF-40,,,Gold Room Safety Shower and Eyewash Station,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3650-TK-46,,,Electrowinning Sludge Feed Tank,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3650,Refinery and Gold Room,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3660,,,Carbon Addition and Carbon Fines,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3600,Gold Recovery & Carbon Regeneration - (Cost Centre 205),,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3660-AG-04,,,Carbon Attrition Tank Agitator,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3660,Carbon Addition and Carbon Fines,,,False,False,,0,False,,GOLD RECOVERY & CARB,Gold Recovery & Carbon Regeneration,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
